EQUIPO,PART,MIN,PT,T2,T3,TC,TL,RO,RD,RT,AS,BR,BP,TF,TC,MT,FC,FR,VA,Temporada,Liga
BASQUET GIRONA,34,6875,2675,698/1314,278/859,976/2173,445/613,278,872,1150,462,218,398,50,47,69,676,659,2775,2021/2022,LEB Oro
ICG FORÇA LLEIDA,18,3600,1369,344/662,135/417,479/1079,276/375,155,398,553,248,119,207,14,14,15,339,366,1424,2020/2021,LEB Oro
TAU CASTELLÓ,18,3725,1437,324/633,183/454,507/1087,240/341,130,449,579,297,118,202,28,24,32,321,361,1616,2020/2021,LEB Oro
DELTECO GIPUZKOA BASKET,24,4825,1821,497/965,182/566,679/1531,281/394,214,578,792,362,201,256,72,63,38,449,447,1962,2019/2020,LEB Oro
IBEREÓLICA RENOVABLES OURENSE,16,3200,1195,295/568,132/329,427/897,209/287,116,319,435,183,79,174,15,25,9,281,313,1217,2020/2021,LEB Oro
MELILLA SPORT CAPITAL CLUB MELILLA BALONCESTO,16,3225,1196,320/616,120/347,440/963,196/285,154,353,507,205,87,198,22,27,27,378,285,1114,2020/2021,LEB Oro
CLINICA SUR-ASPASIA RVB,16,3225,1322,355/639,126/349,481/988,234/331,128,353,481,179,101,166,15,19,26,344,336,1320,2020/2021,LEB Oro
LIBERBANK OVIEDO BALONCESTO,16,3225,1269,333/644,129/319,462/963,216/306,145,341,486,201,103,171,33,17,24,306,325,1349,2020/2021,LEB Oro
RÍO BREOGÁN,16,3200,1259,341/584,114/325,455/909,235/318,117,397,514,167,107,195,8,7,11,339,320,1304,2020/2021,LEB Oro
BÀSQUET GIRONA,18,3675,1404,344/642,176/486,520/1128,188/264,130,391,521,252,132,223,21,25,13,401,309,1331,2020/2021,LEB Oro
COVIRAN GRANADA,18,3675,1413,315/584,176/487,491/1071,255/346,153,408,561,260,118,231,40,19,22,336,369,1523,2020/2021,LEB Oro
B THE TRAVEL BRAND MALLORCA-PALMA,24,4825,1839,429/851,217/632,646/1483,330/441,228,622,850,354,154,319,68,57,24,509,491,1923,2019/2020,LEB Oro
CHOCOLATES TRAPA PALENCIA,24,4825,1980,509/953,205/545,714/1498,347/436,224,572,796,397,129,263,48,69,50,440,485,2190,2019/2020,LEB Oro
TAU CASTELLÓ,24,4850,1901,453/923,215/578,668/1501,350/502,208,584,792,382,179,300,76,52,56,475,501,2019,2019/2020,LEB Oro
CB ALMANSA CON AFANION,18,3625,1390,361/640,145/409,506/1049,233/322,134,399,533,284,125,227,15,15,23,386,353,1455,2020/2021,LEB Oro
LEVITEC HUESCA,18,3625,1259,269/535,178/522,447/1057,187/259,139,390,529,221,105,240,12,15,23,378,314,1140,2020/2021,LEB Oro
LIBERBANK OVIEDO BALONCESTO,24,4825,1682,388/786,198/623,586/1409,312/416,163,606,769,383,129,318,56,52,16,494,466,1694,2019/2020,LEB Oro
LEVITEC HUESCA,24,4800,1760,452/966,186/541,638/1507,298/405,201,598,799,331,157,306,44,79,17,465,478,1743,2019/2020,LEB Oro
AFANION CB ALMANSA,24,4875,1838,473/1037,171/531,644/1568,379/516,277,552,829,353,186,287,28,77,16,464,503,1848,2019/2020,LEB Oro
LECHE RIO BREOGAN,24,4825,1950,466/899,255/657,721/1556,253/356,239,569,808,417,192,285,67,53,30,543,459,2074,2019/2020,LEB Oro
HLA ALICANTE,24,4825,1931,515/929,184/586,699/1515,349/458,212,584,796,367,189,317,105,49,54,498,491,2090,2019/2020,LEB Oro
ZTE REAL CANOE N.C.,24,4800,1844,455/925,204/626,659/1551,322/445,236,523,759,351,170,268,70,25,55,481,489,1894,2019/2020,LEB Oro
CLUB MELILLA BALONCESTO,24,4850,1827,495/977,193/562,688/1539,258/389,281,616,897,446,170,312,79,42,40,507,438,2014,2019/2020,LEB Oro
COVIRAN GRANADA,24,4800,1734,408/905,196/572,604/1477,330/438,273,578,851,342,170,260,43,52,40,523,493,1817,2019/2020,LEB Oro
CLUB OURENSE BALONCESTO,24,4800,1710,420/790,212/596,632/1386,234/347,184,555,739,369,135,308,36,56,33,427,459,1790,2019/2020,LEB Oro
MARIN ENCE PEIXE GALEGO,24,4800,1610,435/975,157/535,592/1510,269/403,228,556,784,253,149,286,61,54,44,501,435,1399,2019/2020,LEB Oro
CARRAMIMBRE CBC VALLADOLID,24,4875,1917,454/949,209/634,663/1583,382/520,269,577,846,302,173,227,43,54,19,493,525,1974,2019/2020,LEB Oro
ICG FORÇA LLEIDA,24,4850,1749,456/943,195/572,651/1515,252/358,224,581,805,318,133,315,70,51,33,457,434,1716,2019/2020,LEB Oro
LEYMA CORUÑA,24,4825,1782,464/926,174/571,638/1497,332/480,246,606,852,375,170,297,78,50,58,494,484,1893,2019/2020,LEB Oro
CACERES PATRIMONIO DE LA HUMANIDAD,24,4825,1837,422/858,206/612,628/1470,375/532,237,560,797,283,179,288,24,53,14,455,547,1872,2019/2020,LEB Oro
LEVITEC HUESCA,34,6875,2596,682/1373,281/765,963/2138,389/522,251,885,1136,552,237,473,116,100,63,658,586,2684,2018/2019,LEB Oro
CLUB MELILLA BALONCESTO,34,6850,2536,735/1446,226/673,961/2119,388/543,327,860,1187,480,253,447,82,85,86,618,608,2683,2018/2019,LEB Oro
ZTE REAL CANOE N.C.,34,6875,2321,657/1410,214/734,871/2144,365/546,305,770,1075,439,219,455,80,71,47,574,657,2237,2018/2019,LEB Oro
RIO OURENSE TERMAL,34,6800,2528,647/1325,268/753,915/2078,430/611,319,812,1131,478,281,440,100,81,108,551,622,2724,2018/2019,LEB Oro
COVIRAN GRANADA,34,6850,2540,600/1233,287/820,887/2053,479/626,363,862,1225,459,205,406,56,80,16,640,708,2754,2018/2019,LEB Oro
LIBERBANK OVIEDO BALONCESTO,34,6850,2607,600/1129,352/910,952/2039,351/484,249,890,1139,563,183,448,88,53,46,677,613,2795,2018/2019,LEB Oro
C.B. PRAT,34,6875,2420,623/1320,263/831,886/2151,385/516,319,680,999,443,258,448,82,95,39,659,631,2235,2018/2019,LEB Oro
CHOCOLATES TRAPA PALENCIA,34,6900,2683,770/1519,231/667,1001/2186,450/626,317,835,1152,539,263,435,74,107,51,598,692,2902,2018/2019,LEB Oro
CARRAMIMBRE CBC VALLADOLID,34,6875,2658,726/1493,250/734,976/2227,456/618,359,832,1191,452,220,374,61,87,30,666,672,2714,2018/2019,LEB Oro
TAU CASTELLÓ,34,6825,2568,672/1351,279/836,951/2187,387/517,309,842,1151,566,270,456,88,92,46,583,608,2754,2018/2019,LEB Oro
REAL BETIS ENERGIA PLUS,34,6850,2795,682/1276,334/847,1016/2123,429/549,313,819,1132,495,280,398,93,76,56,599,604,3099,2018/2019,LEB Oro
RETABET BILBAO BASKET,34,6850,2626,693/1279,289/935,982/2214,373/525,333,827,1160,582,280,366,102,68,83,661,599,2870,2018/2019,LEB Oro
ICG FORÇA LLEIDA,34,6825,2498,660/1353,275/870,935/2223,353/490,376,780,1156,482,248,408,103,82,51,617,582,2537,2018/2019,LEB Oro
BARÇA LASSA,34,6875,2384,582/1219,291/947,873/2166,347/509,343,752,1095,480,248,497,111,75,59,699,613,2205,2018/2019,LEB Oro
CACERES PATRIMONIO DE LA HUMANIDAD,34,6875,2388,592/1242,287/831,879/2073,343/435,269,733,1002,419,258,438,52,66,25,613,567,2283,2018/2019,LEB Oro
IBEROJET PALMA,34,6900,2664,701/1282,284/807,985/2089,410/567,310,793,1103,491,236,398,59,58,70,608,622,2850,2018/2019,LEB Oro
SÁENZ HORECA ARABERRI,34,6825,2516,689/1418,258/853,947/2271,364/543,373,790,1163,382,233,424,86,102,48,608,610,2353,2018/2019,LEB Oro
LEYMA CORUÑA,34,6875,2596,665/1384,312/901,977/2285,330/431,337,819,1156,517,239,424,82,94,43,605,555,2613,2018/2019,LEB Oro
CB PRAT,34,6825,2504,658/1270,261/830,919/2100,405/596,360,789,1149,401,239,372,114,75,69,563,652,2677,2017/2018,LEB Oro
ACTEL FORÇA LLEIDA,34,6825,2530,695/1391,241/667,936/2058,417/545,285,731,1016,420,195,373,85,80,36,670,616,2489,2017/2018,LEB Oro
ICL MANRESA,34,6800,2683,750/1386,249/770,999/2156,436/603,345,804,1149,506,263,381,110,77,53,704,679,2904,2017/2018,LEB Oro
UNION FINANCIERA BALONCESTO OVIEDO,34,6800,2597,659/1244,279/795,938/2039,442/661,295,787,1082,479,222,385,90,71,64,680,672,2686,2017/2018,LEB Oro
CAFES CANDELAS BREOGAN,34,6800,2958,814/1498,280/733,1094/2231,490/617,322,832,1154,581,305,392,73,93,80,671,680,3331,2017/2018,LEB Oro
CLUB MELILLA BALONCESTO,34,6825,2534,660/1211,295/833,955/2044,329/482,283,859,1142,517,182,387,89,54,82,585,593,2789,2017/2018,LEB Oro
CB. CLAVIJO,34,6800,2523,711/1434,239/769,950/2203,384/549,394,691,1085,441,318,431,79,110,34,653,594,2428,2017/2018,LEB Oro
TAU CASTELLO,34,6875,2629,730/1453,251/749,981/2202,416/569,361,855,1216,555,258,475,74,85,46,642,643,2799,2017/2018,LEB Oro
IBEROSTAR PALMA,34,6800,2495,598/1163,333/873,931/2036,300/399,250,750,1000,445,202,362,51,48,21,641,570,2508,2017/2018,LEB Oro
CACERES PATRIMONIO DE LA HUMANIDAD,34,6850,2575,594/1189,318/838,912/2027,433/560,268,757,1025,512,262,465,59,86,29,618,629,2651,2017/2018,LEB Oro
LEYMA CORUÑA,34,6800,2591,618/1283,311/859,929/2142,422/548,299,743,1042,544,208,374,89,72,35,668,636,2657,2017/2018,LEB Oro
CARRAMIMBRE CBC VALLADOLID,34,6800,2628,698/1416,253/680,951/2096,473/651,306,773,1079,435,215,393,92,98,61,661,691,2665,2017/2018,LEB Oro
CHOCOLATES TRAPA PALENCIA,34,6800,2547,690/1437,248/713,938/2150,423/572,324,775,1099,459,236,327,58,70,20,673,629,2597,2017/2018,LEB Oro
SÁENZ HORECA ARABERRI,34,6800,2821,802/1635,267/690,1069/2325,416/569,361,775,1136,475,242,369,83,103,52,657,605,2824,2017/2018,LEB Oro
FUTBOL CLUB BARCELONA LASSA,34,6825,2575,689/1422,243/771,932/2193,468/658,355,823,1178,463,238,436,98,68,74,590,679,2686,2017/2018,LEB Oro
SAMMIC HOSTELERIA,34,6825,2422,605/1252,278/796,883/2048,378/520,278,762,1040,400,163,415,58,77,39,608,643,2319,2017/2018,LEB Oro
LEVITEC HUESCA,34,6825,2402,635/1323,248/749,883/2072,388/542,296,691,987,418,297,388,90,66,30,615,654,2436,2017/2018,LEB Oro
RIO OURENSE TERMAL,34,6825,2541,688/1324,243/795,931/2119,436/590,352,798,1150,404,215,444,77,82,35,670,640,2489,2017/2018,LEB Oro
CB PRAT,34,6850,2626,648/1301,308/867,956/2168,406/519,283,720,1003,485,282,445,72,78,7,689,634,2565,2016/2017,LEB Oro
CALZADOS ROBUSTA,34,6875,2614,669/1306,281/777,950/2083,433/596,300,720,1020,442,211,377,84,61,74,697,640,2580,2016/2017,LEB Oro
CACERES PATRIMONIO DE LA HUMANIDAD,34,6850,2568,592/1212,311/820,903/2032,451/604,309,717,1026,412,209,447,60,67,29,574,687,2592,2016/2017,LEB Oro
CAFES CANDELAS BREOGAN,34,6900,3030,823/1483,306/823,1129/2306,466/622,363,817,1180,527,281,382,62,102,45,720,684,3227,2016/2017,LEB Oro
OURENSE PROVINCIA TERMAL,34,6850,2586,652/1192,307/804,959/1996,361/546,266,802,1068,405,227,485,59,75,34,668,637,2532,2016/2017,LEB Oro
SAN PABLO INMOBILIARIA BURGOS,34,6800,2787,674/1252,352/926,1026/2178,383/498,311,866,1177,576,248,405,65,73,49,632,603,3079,2016/2017,LEB Oro
SÁENZ HORECA ARABERRI,34,6850,2664,650/1249,315/876,965/2125,419/568,313,687,1000,435,224,293,51,75,17,625,695,2767,2016/2017,LEB Oro
RETABET.ES GBC,34,6800,2600,657/1343,319/948,976/2291,329/455,380,862,1242,473,268,439,70,76,35,651,596,2642,2016/2017,LEB Oro
MAGIA HUESCA,34,6900,2453,651/1323,256/789,907/2112,383/533,337,708,1045,474,247,472,79,78,13,682,671,2382,2016/2017,LEB Oro
MARIN PEIXEGALEGO,34,6875,2479,647/1280,258/786,905/2066,411/580,255,700,955,420,246,418,68,84,19,682,674,2328,2016/2017,LEB Oro
ACTEL FORÇA LLEIDA,34,6825,2612,709/1420,262/737,971/2157,408/565,336,779,1115,454,240,400,96,90,49,705,620,2599,2016/2017,LEB Oro
PALMA AIR EUROPA,34,6825,2708,588/1184,376/939,964/2123,404/532,295,781,1076,452,207,397,58,70,26,584,632,2795,2016/2017,LEB Oro
QUESOS CERRATO PALENCIA,34,6825,2779,750/1452,260/711,1010/2163,499/632,316,804,1120,441,241,394,103,94,36,623,692,2979,2016/2017,LEB Oro
CLUB MELILLA BALONCESTO,34,6900,2642,655/1165,306/883,961/2048,414/564,277,821,1098,525,257,453,87,58,39,658,659,2862,2016/2017,LEB Oro
LEYMA CORUÑA,34,6800,2748,687/1307,330/836,1017/2143,384/516,258,841,1099,526,201,437,86,84,31,667,656,2870,2016/2017,LEB Oro
TAU CASTELLÓ,34,6800,2706,702/1403,294/776,996/2179,420/576,325,764,1089,554,275,445,90,78,38,651,644,2845,2016/2017,LEB Oro
F.C. BARCELONA LASSA,34,6800,2538,681/1382,250/775,931/2157,426/623,391,814,1205,450,198,502,119,65,63,630,685,2575,2016/2017,LEB Oro
UNION FINANCIERA BALONCESTO OVIEDO,34,6925,2741,626/1227,333/903,959/2130,490/659,301,814,1115,528,230,400,96,54,77,747,697,2866,2016/2017,LEB Oro
ACTEL FORÇA LLEIDA,30,6075,2161,563/1202,216/685,779/1887,387/553,305,681,986,327,197,412,47,70,38,669,595,1888,2015/2016,LEB Oro
CB PRAT JOVENTUT,30,6000,2105,553/1216,213/693,766/1909,360/484,281,648,929,348,260,425,79,76,15,612,576,1917,2015/2016,LEB Oro
UNION FINANCIERA BALONCESTO OVIEDO,30,6075,2286,539/1023,281/810,820/1833,365/495,265,662,927,418,184,371,25,49,19,647,584,2214,2015/2016,LEB Oro
OURENSE PROVINCIA TERMAL,30,6050,2229,587/1106,225/697,812/1803,380/530,319,629,948,312,237,435,63,55,35,575,551,2134,2015/2016,LEB Oro
QUESOS CERRATO PALENCIA,30,6050,2407,701/1365,187/552,888/1917,444/602,300,742,1042,393,257,371,74,66,36,568,614,2595,2015/2016,LEB Oro
COCINAS.COM,30,6025,2351,569/1138,250/733,819/1871,463/625,312,651,963,420,264,379,82,67,61,582,619,2457,2015/2016,LEB Oro
PLANASA NAVARRA,30,6075,2177,535/1061,246/749,781/1810,369/515,245,691,936,342,175,408,55,62,17,599,581,2022,2015/2016,LEB Oro
CLUB MELILLA BALONCESTO,30,6025,2427,655/1176,253/659,908/1835,358/474,286,736,1022,487,205,427,91,60,45,561,545,2686,2015/2016,LEB Oro
CAFES CANDELAS BREOGAN,30,6075,2315,605/1186,243/704,848/1890,376/532,286,657,943,414,282,395,76,61,39,673,559,2262,2015/2016,LEB Oro
SAN PABLO INMOBILIARIA BURGOS,30,6075,2290,581/1142,261/708,842/1850,345/482,262,715,977,424,213,347,68,68,37,611,544,2345,2015/2016,LEB Oro
PALMA AIR EUROPA,30,6025,2309,555/1050,297/790,852/1840,308/421,277,693,970,456,178,372,81,49,27,518,540,2494,2015/2016,LEB Oro
AMICS CASTELLÓ,30,6025,2406,663/1266,205/567,868/1833,465/623,248,678,926,398,240,461,56,84,63,585,650,2423,2015/2016,LEB Oro
F.C. BARCELONA LASSA,30,6000,2271,562/1147,260/845,822/1992,367/497,343,716,1059,371,170,384,83,59,33,544,601,2268,2015/2016,LEB Oro
CACERES PATRIMONIO DE LA HUMANIDAD,30,6050,2164,526/1103,248/718,774/1821,368/492,293,707,1000,425,202,413,52,70,40,484,594,2299,2015/2016,LEB Oro
LEYMA BASQUET CORUÑA,30,6025,2424,642/1194,248/637,890/1831,396/533,267,704,971,474,185,419,58,69,43,598,590,2538,2015/2016,LEB Oro
PEÑAS HUESCA,30,6000,2252,642/1226,211/663,853/1889,335/467,331,665,996,425,271,464,69,73,27,559,581,2330,2015/2016,LEB Oro
LEYMA BASQUET CORUÑA,28,5600,1928,506/1043,200/616,706/1659,316/450,317,599,916,366,187,436,67,63,28,522,530,1886,2014/2015,LEB Oro
RIBEIRA SACRA BREOGAN LUGO,28,5625,2110,547/1065,197/633,744/1698,425/625,303,644,947,389,261,412,75,33,53,582,603,2204,2014/2015,LEB Oro
FORD BURGOS,28,5625,2283,579/1072,247/642,826/1714,384/518,298,686,984,416,265,383,72,50,46,477,552,2640,2014/2015,LEB Oro
INSTITUTO DE FERTILIDAD CLÍNICAS RINCÓN,28,5600,1859,475/947,203/665,678/1612,300/431,273,599,872,325,199,476,70,23,38,538,516,1739,2014/2015,LEB Oro
MYWIGO VALLADOLID,28,5600,2053,580/1149,185/562,765/1711,338/506,270,660,930,387,213,404,56,74,30,541,568,2074,2014/2015,LEB Oro
COCINAS.COM,28,5625,2034,581/1158,177/550,758/1708,341/471,276,559,835,393,213,333,40,70,41,560,526,1998,2014/2015,LEB Oro
CB PRAT JOVENTUT,28,5625,1904,517/1115,185/647,702/1762,315/451,269,623,892,301,214,391,75,58,31,530,553,1764,2014/2015,LEB Oro
PEÑAS HUESCA,28,5600,2026,572/1143,191/566,763/1709,309/456,308,546,854,402,224,467,82,62,25,477,526,2015,2014/2015,LEB Oro
INSTITUTO DE FERTILIDAD CLÍNICAS RINCÓN,26,5200,1814,451/943,204/616,655/1559,300/421,273,541,814,327,226,386,89,29,49,523,532,1839,2013/2014,LEB Oro
UNION FINANCIERA BALONCESTO OVIEDO,28,5600,2108,544/1082,236/703,780/1785,312/443,266,622,888,409,222,398,54,43,33,570,504,2038,2014/2015,LEB Oro
PLANASA NAVARRA,28,5600,1942,477/971,208/611,685/1582,364/501,215,602,817,310,228,379,50,41,27,525,557,1925,2014/2015,LEB Oro
ACTEL FORÇA LLEIDA,28,5600,1897,477/974,202/693,679/1667,337/475,284,670,954,394,203,373,67,49,35,568,551,1950,2014/2015,LEB Oro
CLUB OURENSE BALONCESTO,28,5600,2163,563/1013,259/691,822/1704,260/363,241,617,858,355,256,383,57,49,50,526,482,2228,2014/2015,LEB Oro
QUESOS CERRATO PALENCIA,28,5625,2027,545/1095,206/615,751/1710,319/451,297,696,993,381,205,408,63,76,25,539,545,2100,2014/2015,LEB Oro
PALMA AIR EUROPA,28,5650,2110,584/1200,212/600,796/1800,306/415,269,616,885,314,249,351,57,50,22,528,472,2045,2014/2015,LEB Oro
PLANASA NAVARRA,26,5225,1789,452/1008,205/602,657/1610,270/367,239,516,755,280,194,397,30,72,9,535,500,1494,2013/2014,LEB Oro
RIBEIRA SACRA BREOGAN LUGO,26,5225,1973,572/1112,173/531,745/1643,310/403,260,596,856,340,247,331,80,18,57,475,492,2173,2013/2014,LEB Oro
COCINAS.COM,26,5200,1962,521/1046,196/537,717/1583,332/437,238,579,817,419,203,344,67,34,42,508,479,2090,2013/2014,LEB Oro
PEÑAS HUESCA,26,5275,1874,514/990,180/553,694/1543,306/431,257,583,840,346,192,381,73,37,20,496,514,1951,2013/2014,LEB Oro
B.C. RIVER ANDORRA MORABANC,26,5202,2210,573/1036,236/610,809/1646,356/470,217,611,828,426,213,283,72,56,42,501,513,2471,2013/2014,LEB Oro
FUTBOL CLUB BARCELONA,26,5200,1702,466/1021,161/514,627/1535,287/423,284,563,847,265,184,438,65,56,40,583,470,1412,2013/2014,LEB Oro
LEYMA NATURA BASQUET CORUÑA,26,5225,1895,503/1032,191/506,694/1538,316/472,250,616,866,311,152,355,90,55,50,404,494,1994,2013/2014,LEB Oro
FORÇA LLEIDA CLUB ESPORTIU,26,5250,1970,528/1034,195/570,723/1604,329/440,257,569,826,354,213,386,85,49,38,548,524,1997,2013/2014,LEB Oro
CLUB MELILLA BALONCESTO,26,5200,1880,503/1010,204/543,707/1553,262/359,232,636,868,315,135,367,55,46,24,502,459,1854,2013/2014,LEB Oro
FORD BURGOS,26,5200,2086,555/1063,204/578,759/1641,364/501,306,581,887,372,222,350,65,56,50,508,521,2220,2013/2014,LEB Oro
QUESOS CERRATO PALENCIA,26,5200,1918,480/1015,196/550,676/1565,370/522,265,593,858,349,204,363,47,76,28,499,546,1943,2013/2014,LEB Oro
OURENSE TERMAL,26,5225,1811,461/968,194/582,655/1550,307/414,255,541,796,240,213,384,44,64,25,451,484,1687,2013/2014,LEB Oro
UNION FINANCIERA BALONCESTO OVIEDO,26,5225,2038,479/915,250/661,729/1576,330/460,223,545,768,388,204,358,52,33,33,521,490,2051,2013/2014,LEB Oro
PLANASA NAVARRA,26,5225,1897,523/1054,179/494,702/1548,314/470,208,595,803,306,164,407,56,46,20,460,502,1813,2012/2013,LEB Oro
CACERES PATRIMONIO DE LA HUMANIDAD,26,5250,1921,560/1088,156/518,716/1606,333/507,275,585,860,331,238,444,53,76,67,450,503,1872,2012/2013,LEB Oro
C.B. BREOGAN LUGO,26,5225,1845,482/992,187/563,669/1555,320/424,227,592,819,323,206,351,97,21,46,450,470,1948,2012/2013,LEB Oro
KNET,26,5275,2008,560/1088,163/490,723/1578,399/547,272,588,860,366,177,373,64,34,28,494,569,2140,2012/2013,LEB Oro
B.C. RIVER ANDORRA,26,5200,2080,535/1013,200/596,735/1609,410/548,216,587,803,367,243,311,68,35,40,540,538,2201,2012/2013,LEB Oro
C. OURENSE BALONCESTO SAD,26,5200,1890,512/962,210/523,722/1485,236/339,204,521,725,308,220,442,44,43,27,513,419,1742,2012/2013,LEB Oro
CLUB MELILLA BALONCESTO,26,5225,2027,543/1016,197/566,740/1582,350/445,230,610,840,433,151,366,41,34,19,437,515,2233,2012/2013,LEB Oro
PALENCIA BALONCESTO,26,5200,2078,595/1155,170/469,765/1624,378/507,253,551,804,387,243,358,50,53,40,532,524,2155,2012/2013,LEB Oro
LUCENTUM ALICANTE,26,5325,2066,508/977,239/631,747/1608,333/460,225,613,838,381,226,346,56,17,13,514,507,2209,2012/2013,LEB Oro
LOBE HUESCA,26,5200,1874,531/1076,163/520,694/1596,323/447,275,521,796,303,234,436,57,65,20,595,485,1627,2012/2013,LEB Oro
FORÇA LLEIDA CLUB ESPORTIU,26,5200,1929,525/1046,193/568,718/1614,300/424,244,592,836,361,193,362,73,44,35,502,493,1957,2012/2013,LEB Oro
LEYMA NATURA BASQUET CORUÑA,26,5200,1841,518/1080,154/448,672/1528,343/453,250,539,789,302,220,415,66,42,28,550,486,1731,2012/2013,LEB Oro
FORD BURGOS,26,5225,2163,577/1064,220/599,797/1663,349/477,308,561,869,383,277,333,58,46,46,447,510,2440,2012/2013,LEB Oro
FC BARCELONA REGAL,26,5250,1971,451/935,259/664,710/1599,292/382,232,555,787,319,221,428,69,50,46,532,464,1842,2012/2013,LEB Oro
REAL CANOE N.C.,26,5225,2124,505/1040,246/712,751/1752,376/587,267,690,957,405,188,420,43,63,82,521,540,2104,2021/2022,LEB Plata
SANT ANTONI IBIZA FEELING,26,5225,1971,537/1015,203/702,740/1717,288/448,279,672,951,393,229,375,56,40,50,565,480,2003,2021/2022,LEB Plata
EL VENTERO CBV,25,5000,1830,465/866,197/615,662/1481,309/433,174,579,753,354,175,351,13,24,18,479,473,1825,2021/2022,LEB Plata
DECOLOR FUNDACION GLOBALCAJA LA RODA,26,5250,1904,515/1046,182/581,697/1627,328/464,217,630,847,336,202,335,50,43,35,476,493,1955,2021/2022,LEB Plata
FC CARTAGENA CB,26,5225,2019,456/879,237/686,693/1565,396/537,217,644,861,332,166,316,35,32,20,408,502,2178,2021/2022,LEB Plata
VALENCIA BC,26,5250,2038,506/998,227/744,733/1742,345/512,276,637,913,404,268,436,49,53,25,546,535,2049,2021/2022,LEB Plata
SAFIR FRUITS ALGINET,26,5225,1826,485/1022,196/700,681/1722,268/413,254,736,990,345,181,401,67,48,34,504,452,1770,2021/2022,LEB Plata
HERBALIFE GRAN CANARIA,26,5250,1944,487/1037,210/690,697/1727,340/505,255,661,916,314,234,411,34,45,39,516,491,1811,2021/2022,LEB Plata
MI ARQUITECTO C.B. BENICARLO,26,5250,1895,473/948,196/652,669/1600,361/508,220,695,915,355,227,398,73,38,66,445,502,2046,2021/2022,LEB Plata
BUENO ARENAS ALBACETE BASKET,26,5250,2058,496/1004,225/688,721/1692,391/553,215,746,961,319,215,342,37,50,30,482,526,2159,2021/2022,LEB Plata
