EQUIPO,PART,MIN,PT,T2,T3,TC,TL,RO,RD,RT,AS,BR,BP,TF,TC,MT,FC,FR,VA,Temporada,Liga
HESTIA MENORCA,26,5200,1971,444/911,245/813,689/1724,348/488,342,663,1005,344,203,362,58,53,29,612,466,1898,2021/2022,LEB Plata
CB. CORNELLÀ,26,5250,1902,524/1036,175/610,699/1646,329/475,237,658,895,340,192,386,34,44,42,502,502,1884,2021/2022,LEB Plata
ZENTRO BASKET MADRID,25,5125,1974,562/1140,182/585,744/1725,304/481,289,686,975,405,207,455,72,55,107,498,451,1973,2021/2022,LEB Plata
RECAMBIOS GAUDÍ CB MOLLET,26,5275,2060,549/1114,193/655,742/1769,383/552,250,619,869,310,245,320,22,51,17,549,543,1984,2021/2022,LEB Plata
DAMEX UDEA ALGECIRAS,26,5225,1918,541/1103,161/562,702/1665,353/508,262,578,840,319,177,402,40,44,18,530,521,1765,2021/2022,LEB Plata
ENERPARKING BASKET NAVARRA,25,5025,1956,488/974,201/637,689/1611,377/484,252,596,848,336,200,393,47,41,41,509,476,1932,2021/2022,LEB Plata
REINA YOGUR CLAVIJO CB,26,5225,1972,488/889,233/667,721/1556,297/428,204,574,778,448,197,374,30,36,39,515,467,2037,2021/2022,LEB Plata
CB MARBELLA,26,5200,1763,448/955,200/650,648/1605,267/438,224,605,829,326,169,351,27,31,33,521,459,1573,2021/2022,LEB Plata
AQUIMISA CARBAJOSA EMPRESARIAL,26,5250,1875,453/984,208/679,661/1663,345/477,251,545,796,289,215,369,35,51,47,505,501,1703,2021/2022,LEB Plata
HEREDA CLUB OURENSE BALONCESTO,26,5250,1951,446/890,237/659,683/1549,348/455,200,663,863,426,163,328,48,35,26,513,466,2103,2021/2022,LEB Plata
CLINICA PONFERRADA CDP,26,5275,2042,494/941,247/800,741/1741,313/449,238,623,861,398,258,355,52,35,25,508,485,2097,2021/2022,LEB Plata
MELILLA SPORT CAPITAL ENRIQUE SOLER,26,5224,2099,526/1015,237/674,763/1689,336/498,274,623,897,423,168,376,64,43,73,463,513,2237,2021/2022,LEB Plata
CLUB BALONCESTO MORÓN,26,5225,1884,500/1003,188/628,688/1631,320/469,265,618,883,294,202,345,24,55,35,523,506,1833,2021/2022,LEB Plata
CÍRCULO GIJÓN BALONCESTO,26,5325,1981,519/1040,189/579,708/1619,376/538,221,642,863,321,129,317,66,54,49,457,527,2040,2021/2022,LEB Plata
TEKNEI BIZKAIA ZORNOTZA,26,5225,1912,442/888,210/686,652/1574,398/547,224,620,844,383,172,332,19,45,13,503,548,1972,2021/2022,LEB Plata
TIZONA UNIVERSIDAD DE BURGOS,25,5049,1996,499/908,208/661,707/1569,374/511,264,624,888,369,214,379,41,28,61,503,499,2126,2021/2022,LEB Plata
ZAMORA ENAMORA,26,5250,1912,441/918,217/632,658/1550,379/502,215,629,844,286,178,363,47,34,32,506,490,1873,2021/2022,LEB Plata
GRUPO ALEGA CANTABRIA CBT,26,5200,2033,512/935,214/633,726/1568,367/491,224,596,820,402,230,306,27,35,40,545,504,2199,2021/2022,LEB Plata
HESTIA MENORCA,26,5200,1893,457/886,209/615,666/1501,352/467,209,663,872,389,204,366,43,32,36,470,520,2135,2020/2021,LEB Plata
HOZONO GLOBAL JAIRIS,26,5225,1757,438/897,182/594,620/1491,335/493,204,621,825,262,174,360,46,43,45,484,531,1722,2020/2021,LEB Plata
GRAN CANARIA,26,5200,1969,488/986,230/726,718/1712,303/414,229,566,795,358,230,369,37,54,41,465,442,1892,2020/2021,LEB Plata
ENERPARKING BASKET NAVARRA,26,5200,1810,468/999,213/668,681/1667,235/356,247,636,883,341,214,415,60,38,30,493,438,1731,2020/2021,LEB Plata
IBERSOL CB TARRAGONA,26,5200,1765,433/878,216/660,649/1538,251/360,195,615,810,342,182,411,39,51,23,504,458,1683,2020/2021,LEB Plata
C.B. PRAT,26,5250,2192,558/1056,237/716,795/1772,365/483,304,602,906,398,234,344,59,35,48,536,468,2282,2020/2021,LEB Plata
BARÇA,26,5200,1944,515/985,198/640,713/1625,320/441,248,754,1002,383,211,429,70,47,83,454,479,2173,2020/2021,LEB Plata
MI ARQUITECTO C.B. BENICARLO,26,5300,1861,476/1071,196/668,672/1739,321/465,278,587,865,297,247,350,31,60,22,463,508,1785,2020/2021,LEB Plata
CB CORNELLA,26,5200,1706,489/1085,142/525,631/1610,302/468,278,631,909,270,190,474,32,40,31,479,519,1528,2020/2021,LEB Plata
TORRONS VICENS - C.B. L´HOSPITALET,26,5225,1674,466/1028,157/555,623/1583,271/419,202,593,795,277,211,373,21,42,17,464,471,1504,2020/2021,LEB Plata
CLUB BÀSQUET PARDINYES LLEIDA,26,5225,1904,458/919,233/765,691/1684,289/416,229,619,848,371,234,391,26,26,32,544,480,1808,2020/2021,LEB Plata
ALBACETE BASKET,26,5225,1889,489/986,203/666,692/1652,302/438,212,686,898,338,193,382,38,50,15,473,477,1882,2020/2021,LEB Plata
EL VENTERO CBV,26,5225,1807,463/912,197/613,660/1525,290/445,231,560,791,322,214,418,24,24,40,541,482,1661,2020/2021,LEB Plata
FUNDACION GLOBALCAJA LA RODA,26,5275,1848,504/1053,197/638,701/1691,249/377,210,670,880,348,213,321,60,43,26,498,448,1860,2020/2021,LEB Plata
CB MARBELLA,26,5275,1923,507/997,211/639,718/1636,276/414,212,625,837,368,175,360,51,29,22,508,475,1905,2020/2021,LEB Plata
CÍRCULO GIJÓN BALONCESTO,26,5225,2037,477/973,267/678,744/1651,282/384,239,604,843,349,167,322,25,33,14,423,482,2149,2020/2021,LEB Plata
ZENTRO BASKET MADRID,26,5250,2009,589/1058,172/563,761/1621,315/448,257,620,877,371,168,369,55,37,51,477,487,2128,2020/2021,LEB Plata
AQUIMISA CARBAJOSA,26,5250,1823,516/1049,180/630,696/1679,251/367,245,636,881,340,199,324,42,54,16,487,428,1803,2020/2021,LEB Plata
GRUPO ALEGA CANTABRIA,26,5250,2099,538/1027,235/650,773/1677,318/433,254,642,896,378,199,360,41,28,48,572,447,2109,2020/2021,LEB Plata
C.B. MORON,25,5050,1835,491/925,186/507,677/1432,295/396,153,481,634,321,113,315,27,21,30,460,453,1752,2020/2021,LEB Plata
INNOVA CHEF,26,5275,1901,522/1033,178/577,700/1610,323/455,195,647,842,293,133,303,39,34,46,466,445,1842,2020/2021,LEB Plata
ZORNOTZA SASKIBALOI TALDEA,26,5200,2020,536/1013,203/639,739/1652,339/491,267,635,902,343,204,344,44,38,46,473,502,2133,2020/2021,LEB Plata
ENERDRINK UDEA ALGECIRAS DAM,26,5250,1835,521/1049,164/569,685/1618,301/460,275,549,824,322,226,387,28,37,31,465,477,1768,2020/2021,LEB Plata
CAT&REST CLINICA PONFERRADA CDP,25,5050,2021,497/996,244/667,741/1663,295/457,255,557,812,359,220,365,38,47,49,522,460,1939,2020/2021,LEB Plata
REINA YOGUR CLAVIJO CB,26,5200,1992,505/968,222/639,727/1607,316/430,236,565,801,402,213,376,35,46,34,530,506,2049,2020/2021,LEB Plata
NCS ALCOBENDAS,26,5225,1850,484/958,189/606,673/1564,315/486,199,521,720,363,174,336,26,46,23,460,489,1764,2020/2021,LEB Plata
JUARISTI ISB,26,5250,2136,554/967,234/650,788/1617,326/453,224,574,798,362,189,324,40,34,32,475,477,2247,2020/2021,LEB Plata
MELILLA SPORT CAPITAL ENRIQUE SOLER,26,5200,1909,532/1017,180/590,712/1607,305/444,242,555,797,386,195,366,34,32,44,441,482,1962,2020/2021,LEB Plata
CAT&REST INTRAGAS-CLIMA CDP,3,625,228,68/141,22/60,90/201,26/36,28,70,98,39,28,39,5,12,6,63,55,218,2019/2020,LEB Plata
C.B. PRAT,3,625,226,68/123,17/83,85/206,39/57,28,76,104,49,34,41,11,9,10,62,53,226,2019/2020,LEB Plata
UBU TIZONA,3,600,214,65/130,13/59,78/189,45/50,29,64,93,34,25,44,5,7,3,61,54,197,2019/2020,LEB Plata
REAL MURCIA BALONCESTO,3,600,259,50/96,35/89,85/185,54/73,40,78,118,47,16,40,5,6,0,48,71,303,2019/2020,LEB Plata
ENERDRINK UDEA ALGECIRAS,3,625,246,78/141,17/64,95/205,39/57,30,87,117,59,24,41,9,7,17,65,65,279,2019/2020,LEB Plata
IGUALATORIO CANTABRIA ESTELA,3,600,197,53/130,20/87,73/217,31/42,44,60,104,37,20,26,11,11,6,64,48,161,2019/2020,LEB Plata
INNOVA CHEF,3,625,215,60/133,16/57,76/190,47/71,43,89,132,36,21,48,8,6,12,50,68,238,2019/2020,LEB Plata
HESTIA MENORCA,3,625,238,53/94,29/83,82/177,45/68,15,76,91,45,14,36,14,7,2,60,73,254,2019/2020,LEB Plata
BASQUET GIRONA,3,625,236,55/102,30/71,85/173,36/51,28,85,113,48,18,49,15,7,5,59,55,267,2019/2020,LEB Plata
JUARISTI ISB,3,600,196,46/114,22/78,68/192,38/52,28,61,89,32,23,33,6,15,2,63,58,155,2019/2020,LEB Plata
BARÇA,3,600,231,50/92,37/104,87/196,20/29,24,70,94,49,18,40,7,5,6,58,54,232,2019/2020,LEB Plata
GRAN CANARIA,3,600,219,55/109,26/99,81/208,31/43,28,66,94,53,18,36,7,10,2,65,52,193,2019/2020,LEB Plata
REAL MURCIA BALONCESTO,12,2400,880,181/363,126/356,307/719,140/201,91,352,443,200,76,149,24,34,16,194,215,988,2018/2019,LEB Plata
JUARISTI ISB,12,2400,869,219/451,105/277,324/728,116/170,122,274,396,158,77,142,20,28,10,215,198,875,2018/2019,LEB Plata
AFANION CB ALMANSA,12,2400,981,224/459,127/337,351/796,152/211,105,289,394,186,101,114,32,37,8,214,222,1047,2018/2019,LEB Plata
HLA ALICANTE,12,2400,933,216/477,118/317,334/794,147/215,126,301,427,138,104,118,44,29,14,206,225,990,2018/2019,LEB Plata
ISOVER BASKET AZUQUECA,12,2400,868,232/481,94/316,326/797,122/183,112,290,402,138,80,132,29,28,8,181,202,846,2018/2019,LEB Plata
BASKET NAVARRA,12,2400,912,252/480,94/276,346/756,126/179,102,277,379,199,88,163,30,25,5,259,206,904,2018/2019,LEB Plata
CB VILLARROBLEDO,12,2400,926,228/436,105/294,333/730,155/227,111,282,393,188,93,142,26,13,22,279,235,958,2018/2019,LEB Plata
AQUIMISA LABORATORIOS-QUESO ZAMORANO,12,2400,818,189/431,98/316,287/747,146/193,112,298,410,136,65,146,24,33,24,217,227,777,2018/2019,LEB Plata
MARIN ENCE PEIXE GALEGO,12,2400,897,251/516,80/230,331/746,155/229,103,349,452,124,55,151,45,23,18,174,225,961,2018/2019,LEB Plata
ZORNOTZA SASKIBALOI TALDEA,12,2400,843,184/401,105/343,289/744,160/233,101,295,396,142,66,139,22,29,4,248,221,746,2018/2019,LEB Plata
IGUALATORIO CANTABRIA ESTELA,12,2400,855,231/490,87/263,318/753,132/186,86,303,389,171,75,168,23,29,11,225,210,812,2018/2019,LEB Plata
BASQUET GIRONA,12,2400,851,240/501,86/257,326/758,113/159,114,291,405,196,61,135,18,19,8,230,223,892,2018/2019,LEB Plata
HLA ALICANTE,30,6150,2354,519/1036,312/899,831/1935,380/537,292,756,1048,411,175,319,93,43,22,585,599,2472,2017/2018,LEB Plata
REAL CANOE N.C.,30,6050,2338,672/1290,209/616,881/1906,367/562,306,722,1028,379,194,414,79,63,46,514,596,2403,2017/2018,LEB Plata
BASKET NAVARRA,30,6000,2346,629/1191,236/701,865/1892,380/525,290,700,990,385,199,383,52,56,39,593,541,2309,2017/2018,LEB Plata
COVIRAN GRANADA,30,6000,2327,635/1204,232/673,867/1877,361/522,344,742,1086,404,207,365,52,69,41,579,592,2484,2017/2018,LEB Plata
FUNDACION GLOBALCAJA LA RODA,30,6050,2335,560/1097,269/844,829/1941,408/554,291,732,1023,498,246,346,76,52,32,488,581,2615,2017/2018,LEB Plata
AGUSTINOS LECLERC,30,6025,2388,682/1286,223/731,905/2017,355/528,270,725,995,397,162,345,102,76,55,561,558,2335,2017/2018,LEB Plata
BASKONIA,30,6025,2276,586/1157,258/724,844/1881,330/522,253,715,968,436,212,416,83,54,65,602,533,2207,2017/2018,LEB Plata
CB MARTORELL,30,6025,2231,601/1249,235/759,836/2008,324/431,301,683,984,401,238,393,99,60,29,569,527,2179,2017/2018,LEB Plata
ACEITUNAS FRAGATA MORON,30,6000,2299,632/1150,239/710,871/1860,318/461,242,686,928,418,217,350,52,70,27,596,537,2303,2017/2018,LEB Plata
TORRONS VICENS - C.B. L´HOSPITALET,30,6050,2310,617/1180,235/691,852/1871,371/548,271,707,978,419,211,388,64,58,26,600,580,2320,2017/2018,LEB Plata
ARCOS ALBACETE BASKET,30,6050,2238,592/1146,233/721,825/1867,355/510,267,699,966,408,239,372,61,52,37,596,590,2285,2017/2018,LEB Plata
REAL MURCIA BALONCESTO,30,6050,2141,562/1140,205/700,767/1840,402/575,287,696,983,411,218,365,57,84,18,560,575,2130,2017/2018,LEB Plata
CB EXTREMADURA PLASENCIA,30,6050,2276,562/1197,263/716,825/1913,363/544,301,714,1015,443,177,382,45,60,39,599,588,2234,2017/2018,LEB Plata
AQUIMISA LABORATORIOS-QUESO ZAMORANO,30,6025,2388,569/1109,283/742,852/1851,401/510,239,656,895,375,173,355,33,96,20,626,582,2261,2017/2018,LEB Plata
ÁVILA AUTÉNTICA-CARREFOUR ´EL BULEVAR´,30,6050,2215,614/1146,190/622,804/1768,417/569,220,749,969,411,249,407,43,62,67,560,581,2323,2017/2018,LEB Plata
XUVEN CAMBADOS,30,6050,2262,628/1260,224/713,852/1973,334/494,316,746,1062,414,199,378,62,58,17,553,537,2266,2017/2018,LEB Plata
CARREFOUR ´EL BULEVAR´ DE AVILA,30,6050,2107,579/1219,192/597,771/1816,373/536,287,727,1014,369,216,415,50,75,11,562,590,2086,2016/2017,LEB Plata
ACEITUNAS FRAGATA MORON,30,6000,2237,603/1211,232/695,835/1906,335/479,264,694,958,388,235,386,66,63,13,591,554,2183,2016/2017,LEB Plata
HISPAGAN UPB GANDIA,30,6075,2244,563/1204,241/716,804/1920,395/551,252,725,977,345,223,452,84,63,17,635,583,2034,2016/2017,LEB Plata
SAMMIC ISB,30,6025,2222,537/1099,259/723,796/1822,371/519,233,734,967,412,225,356,78,55,42,554,580,2345,2016/2017,LEB Plata
HLA LUCENTUM,30,6050,2308,614/1247,225/581,839/1828,405/545,283,690,973,473,211,401,51,45,20,616,593,2418,2016/2017,LEB Plata
COVIRAN GRANADA,30,6000,2361,637/1253,222/631,859/1884,421/577,327,790,1117,396,194,397,86,55,28,598,580,2503,2016/2017,LEB Plata
TORRONS VICENS C.B. LHOSPITALET A,30,6125,2103,630/1338,154/598,784/1936,381/580,294,701,995,415,230,383,65,73,16,584,638,2055,2016/2017,LEB Plata
CAMBADOS CIDADE EUROPEA DO VIÑO 2017,30,6000,2513,688/1323,244/685,932/2008,405/566,320,741,1061,406,258,398,64,77,31,553,623,2660,2016/2017,LEB Plata
COMERCIAL ULSA CBC VALLADOLID,30,6000,2137,612/1360,184/579,796/1939,361/517,371,738,1109,291,212,411,104,65,39,559,558,2077,2016/2017,LEB Plata
C.B. TARRAGONA 2017,30,6125,2265,550/1174,257/793,807/1967,394/574,313,715,1028,376,227,404,63,64,33,640,645,2156,2016/2017,LEB Plata
ARCOS ALBACETE BASKET,30,6050,2172,613/1275,201/622,814/1897,343/520,294,696,990,333,198,388,65,61,25,674,571,1946,2016/2017,LEB Plata
AGUSTINOS LECLERC,30,6000,2229,567/1226,225/636,792/1862,420/595,306,743,1049,295,166,458,68,93,36,560,612,2063,2016/2017,LEB Plata
ZORNOTZA SASKIBALOI TALDEA,30,6025,2223,588/1157,214/751,802/1908,405/637,299,693,992,390,206,397,68,54,18,655,639,2074,2016/2017,LEB Plata
SEGUROS SOLISS ALCÁZAR BASKET,30,6075,2200,521/1048,258/807,779/1855,384/543,199,774,973,413,177,360,67,55,24,583,574,2171,2016/2017,LEB Plata
KIA SAKIMOVIL BASKET NAVARRA,30,6050,2138,557/1211,206/658,763/1869,406/550,267,753,1020,336,183,433,47,56,20,607,613,1991,2016/2017,LEB Plata
AQUIMISA LABORATORIOS QUESO ZAMORANO,30,6100,2304,545/1190,265/729,810/1919,419/582,303,702,1005,388,176,401,40,81,22,602,573,2130,2016/2017,LEB Plata
ZORNOTZA SASKIBALOI TALDEA,26,5275,1911,460/972,209/670,669/1642,364/521,263,572,835,288,172,383,72,41,17,576,535,1683,2015/2016,LEB Plata
FUNDACIÓN LUCENTUM,26,5225,1880,503/976,170/548,673/1524,364/510,211,587,798,299,206,351,53,52,29,450,540,1926,2015/2016,LEB Plata
ACEITUNAS FRAGATA MORÓN,26,5225,1885,615/1209,128/428,743/1637,271/422,287,658,945,326,218,445,74,58,31,539,508,1869,2015/2016,LEB Plata
BRICO DEPÔT CIUDAD DE VALLADOLID,26,5200,1912,560/1195,150/493,710/1688,342/505,257,616,873,333,185,371,38,69,20,490,532,1802,2015/2016,LEB Plata
INSTITUTO DE FERTILIDAD CLÍNICAS RINCÓN,26,5275,1787,491/993,163/601,654/1594,316/473,265,608,873,332,203,458,85,17,56,534,542,1716,2015/2016,LEB Plata
SAENZ HORECA ARABERRI B.C.,26,5225,2130,606/1116,188/506,794/1622,354/499,207,602,809,411,242,403,67,58,44,521,520,2224,2015/2016,LEB Plata
MARIN ENCE PEIXEGALEGO,26,5225,2088,494/976,231/615,725/1591,407/557,228,554,782,320,212,318,54,38,37,520,555,2119,2015/2016,LEB Plata
VITEN GETAFE,26,5200,1755,453/923,174/630,627/1553,327/470,241,552,793,295,173,414,41,44,18,611,490,1409,2015/2016,LEB Plata
XUVEN CAMBADOS,26,5250,2111,597/1184,192/553,789/1737,341/486,260,587,847,373,247,369,41,62,13,547,545,2093,2015/2016,LEB Plata
COVIRAN GRANADA,26,5250,2019,547/1094,190/588,737/1682,355/529,339,682,1021,375,205,395,49,57,17,554,530,2074,2015/2016,LEB Plata
CARREFOUR ´EL BULEVAR´ DE AVILA,26,5225,1841,457/957,203/631,660/1588,318/472,250,615,865,297,184,361,38,56,19,551,511,1686,2015/2016,LEB Plata
SIMPLY OLIVAR,26,5225,1878,583/1166,151/470,734/1636,259/402,221,615,836,375,192,413,50,48,8,488,465,1802,2015/2016,LEB Plata
SAMMIC ISB,26,5225,1972,592/1139,155/530,747/1669,323/539,304,612,916,324,254,390,74,50,47,452,519,2029,2015/2016,LEB Plata
C.B. TARRAGONA,26,5225,1950,518/997,186/562,704/1559,356/499,238,618,856,364,230,401,67,47,35,555,555,2021,2015/2016,LEB Plata
LUCENTUM ALICANTE,28,5625,1986,476/932,223/650,699/1582,365/535,234,619,853,368,245,395,40,43,8,467,602,2136,2014/2015,LEB Plata
VITEN GETAFE,28,5600,1872,474/1016,207/674,681/1690,303/465,272,660,932,324,224,456,86,59,61,638,497,1611,2014/2015,LEB Plata
CLUB BASQUET TARRAGONA,28,5650,1965,581/1198,181/579,762/1777,260/421,300,680,980,364,232,488,94,66,63,613,482,1774,2014/2015,LEB Plata
ZORNOTZA SASKIBALOI TALDEA,28,5625,2182,593/1121,204/604,797/1725,384/527,253,628,881,332,165,330,54,35,20,511,540,2207,2014/2015,LEB Plata
CANARIAS BASKETBALL ACADEMY-GRAN CANARIA,28,5625,1784,590/1265,129/488,719/1753,217/343,264,682,946,328,196,418,53,77,23,504,447,1595,2014/2015,LEB Plata
OPENTACH BASQUET PLA,28,5650,1898,516/1124,167/619,683/1743,365/500,291,622,913,309,214,444,49,77,27,474,570,1763,2014/2015,LEB Plata
AMICS CASTELLÓ,28,5625,2368,657/1209,219/616,876/1825,397/539,259,680,939,510,253,397,83,78,29,525,564,2626,2014/2015,LEB Plata
SÁENZ HORECA ARABERRI,28,5600,1913,554/1145,158/529,712/1674,331/529,240,642,882,309,177,438,32,92,12,499,538,1662,2014/2015,LEB Plata
FUNDACION BALONCESTO FUENLABRADA,24,4825,1730,387/806,214/643,601/1449,314/428,252,546,798,356,205,362,60,50,45,512,447,1710,2013/2014,LEB Plata
FUTBOL CLUB BARCELONA,28,5675,1942,533/1144,206/651,739/1795,258/410,323,586,909,301,231,467,65,72,36,612,480,1569,2014/2015,LEB Plata
CACERES PATRIMONIO DE LA HUMANIDAD,28,5625,2136,570/1123,235/654,805/1777,291/437,287,691,978,440,207,361,69,58,44,481,537,2349,2014/2015,LEB Plata
SAMMIC ISB,28,5625,1970,622/1224,133/498,755/1722,327/504,270,622,892,351,234,436,49,68,57,550,518,1816,2014/2015,LEB Plata
CEBA GUADALAJARA,28,5675,2011,493/1017,216/595,709/1612,377/535,273,713,986,336,145,415,93,68,42,472,598,2153,2014/2015,LEB Plata
MARIN PEIXEGALEGO,28,5650,1999,538/1053,210/609,748/1662,293/443,210,623,833,324,225,382,45,63,40,468,505,1954,2014/2015,LEB Plata
XUVEN CAMBADOS,28,5600,1920,595/1271,147/474,742/1745,289/409,277,622,899,345,247,453,80,64,22,558,507,1800,2014/2015,LEB Plata
ARABERRI BASKET CLUB,24,4825,1694,468/1008,163/501,631/1509,269/399,253,558,811,336,178,360,32,58,14,460,447,1612,2013/2014,LEB Plata
AMICS CASTELLÓ,24,4850,1834,498/1060,183/578,681/1638,289/394,301,553,854,365,191,351,44,68,25,472,458,1793,2013/2014,LEB Plata
MARIN PEIXEGALEGO,24,4825,1685,442/870,179/529,621/1399,264/398,180,581,761,349,172,350,67,49,26,392,451,1782,2013/2014,LEB Plata
GRUPO EULEN CARREFOUR ´EL BULEVAR´ DE AVILA,24,4850,1775,435/868,205/627,640/1495,290/396,219,581,800,330,181,376,50,56,13,461,441,1723,2013/2014,LEB Plata
PALMA AIR EUROPA,24,4875,1869,482/922,193/606,675/1528,326/437,268,570,838,323,182,304,49,47,12,475,473,1944,2013/2014,LEB Plata
CEBA GUADALAJARA,24,4925,1556,448/942,125/405,573/1347,285/391,201,580,781,267,150,353,35,66,11,448,471,1513,2013/2014,LEB Plata
AURTENECHE MAQUINARIA EUSKADI,20,4075,1507,430/864,126/400,556/1264,269/382,264,450,714,288,197,343,33,51,20,400,387,1511,2012/2013,LEB Plata
CB PRAT,24,4900,1827,480/998,194/592,674/1590,285/415,263,557,820,302,197,330,61,52,26,505,450,1724,2013/2014,LEB Plata
AZPEITIA AZKOITIA ISB,24,4925,1811,528/1046,156/481,684/1527,287/412,225,540,765,370,228,372,54,58,42,495,459,1794,2013/2014,LEB Plata
CONSERVAS DE CAMBADOS,24,4825,1623,480/994,145/451,625/1445,228/349,207,498,705,289,206,366,41,54,11,472,435,1466,2013/2014,LEB Plata
ASKATUAK,24,4800,1479,390/946,150/523,540/1469,249/400,296,556,852,218,154,430,74,48,13,449,477,1247,2013/2014,LEB Plata
ZORNOTZA SASKIBALOI TALDEA,24,4825,1747,440/918,183/498,623/1416,318/458,216,607,823,293,133,389,74,48,33,455,510,1755,2013/2014,LEB Plata
GRAN CANARIA 2014,20,4025,1290,355/738,125/460,480/1198,205/325,236,477,713,216,156,384,57,45,30,401,379,1143,2012/2013,LEB Plata
AMICS CASTELLÓ,20,4075,1519,383/775,137/412,520/1187,342/432,150,504,654,260,151,310,36,44,13,347,419,1581,2012/2013,LEB Plata
CB PRAT JOVENTUT,20,4000,1399,351/746,139/481,490/1227,280/401,200,467,667,221,178,283,70,56,15,406,393,1325,2012/2013,LEB Plata
PALMA AIR EUROPA,20,4000,1492,370/762,141/462,511/1224,329/445,205,499,704,235,167,315,47,38,18,430,442,1475,2012/2013,LEB Plata
CAFES AITONA,20,4000,1263,342/804,122/401,464/1205,213/335,211,444,655,215,140,310,55,49,10,366,380,1120,2012/2013,LEB Plata
CLINICAS RINCON,20,4025,1376,370/780,127/428,497/1208,255/407,259,452,711,218,191,363,74,34,30,445,401,1266,2012/2013,LEB Plata
UNION FINANCIERA ASTURIANA OVIEDO BALONCESTO,20,4025,1557,441/829,148/456,589/1285,231/323,210,489,699,304,160,285,43,50,20,423,338,1555,2012/2013,LEB Plata
AZPEITIA AZKOITIA ISB,20,4050,1531,423/830,126/424,549/1254,307/429,210,495,705,279,152,319,32,54,16,340,410,1569,2012/2013,LEB Plata
GRUPO EULEN CARREFOUR ´EL BULEVAR´ DE AVILA,20,4000,1403,347/747,143/495,490/1242,280/396,255,471,726,208,132,293,55,41,24,373,382,1331,2012/2013,LEB Plata
CEBA GUADALAJARA,20,4025,1490,414/831,144/460,558/1291,230/321,225,441,666,227,160,318,65,47,36,396,364,1387,2012/2013,LEB Plata
